Title,Author(s),ISBN,Genre
To Kill a Mockingbird,Harper Lee,9780061120084,Classic Fiction
1984,George Orwell,9780451524935,Dystopian Fiction
The Great Gatsby,F. Scott Fitzgerald,9780743273565,Classic Fiction
The Catcher in the Rye,J.D. Salinger,9780316769488,Classic Fiction
Pride and Prejudice,Jane Austen,9781503290563,Romance
Harry Potter and the Sorcererâ€™s Stone,J.K. Rowling,9780590353427,Fantasy
The Hobbit,J.R.R. Tolkien,9780547928227,Fantasy
Becoming,Michelle Obama,9781524763138,Memoir
Sapiens: A Brief History of Humankind,Yuval Noah Harari,9780062316097,Non-Fiction

